a,b,c,d
0.58200439462498,6,F8KDr7Mn,false
0.5315695709819555,8,xpId0GA5,false
0.8425164592281935,8,S1IesXN9,true
0.302342800684152,3,SeNuTiuC,false
0.9388465976665412,6,5ACc4Epv,false
0.2260890205335413,10,87zPbekp,false
0.6082387018206528,6,cdmQOiJI,false
0.9445572949338006,5,46pmbQiK,false
0.8767679807771234,9,mTLIoAiF,false
0.15781505074185054,4,YaG25ipg,true
0.2885062947313135,6,DulJKzFz,false
0.6271641033781206,5,YMjparNZ,true
0.5569526754545691,7,WsUBaMqd,true
0.22535409651773097,10,6G6In0xq,true
0.5336693830616104,9,DA5o56cb,true
0.5038963494705337,7,iPj0NHiu,true
0.22369313892646758,2,UOCUiL1O,false
0.6935261407785644,8,PpEOdgcW,true
0.8580318715147599,4,KYC0Tgx7,false
0.864591875753786,5,luh73GXR,true
0.7082039397003439,4,5j8T3tHW,true
0.17868891240540652,7,FATHDncs,true
0.7942456162306861,3,ZhKnwT91,false
0.17131379406977265,4,JnLwblNb,true
0.13831678468577935,2,7pdiRBUi,false
0.20486668476394443,5,Hgm76B4O,false
0.03513563173528156,1,jpw7GMbO,false
0.07222691797320113,7,UjrAzXcY,true
0.10534790289729412,7,27SzJtMU,false
0.5450364387091071,2,s3vOqLCT,true
0.11344710829577243,10,XqwaPAU3,false
0.898731122610386,5,o3Kr0Ceq,false
0.39676265833563096,9,2BZvVAT9,true
0.07733201815810853,7,rLG1EO6d,true
0.5754999992985763,6,pnFX9irF,false
0.4272865530864485,5,a8AO3xVv,true
0.5173075433780969,5,8PZXnVbc,true
0.6238964911948519,8,yiDiv99v,true
0.1441942084918466,7,ZNpxoFg7,true
0.053500441864865245,1,93Nja3ao,true
0.2764317690946083,10,d4mp17Ar,false
0.7622262348127153,4,tfxEgVFW,true
0.03078052231312345,2,53vOJtZt,false
0.8263299136734037,2,qU26Y0x1,false
0.6630474762281218,2,cYA8ICQk,false
0.6315000285918835,8,XHVAvWtF,false
0.30960520749004994,10,fwGIZuo5,false
0.10952428909067513,4,ROFQvA22,false
0.04102638914890244,3,tgcesP8I,false
0.742622514666317,9,QgMWq92l,false
0.9679157917632548,10,Op1ZqD4A,false
0.1805649490702923,3,h7ydZWwT,true
0.9407800035710665,1,5izaFzfZ,false
0.5819007443139084,7,uwc9R8Q2,false
0.8644285610438209,10,yvMZD6Ui,true
0.8130954897083305,6,0JdjIz6g,true
0.5670361960322832,6,9llALIPs,false
0.5233989687190865,2,UOtYPfyx,true
0.9130493678003007,7,EZWB056U,true
0.8767985060489587,2,32EeyhVM,true
0.7725205896112686,10,5AY7DgzG,true
0.1479066722887894,4,tb24mM3S,false
0.1938898720580411,4,Jctn7DlC,true
0.7388285253325793,5,QuEqCrBZ,false
0.15117702770233032,7,BSX4qqmO,true
0.8798408773132247,2,jcnkr3Mo,false
0.7660984412412597,7,qmIPaf72,true
0.08322646062314965,6,mcO6m2mv,true
0.8890033408663671,1,CMyB54rm,false
0.4101587575932517,2,X0mROnrT,true
0.6855571015293807,1,XQtgiCJm,false
0.27314975735761915,4,l4VcmhJJ,true
0.6172239368377697,6,srETfkbb,false
0.520663718353523,1,EpigMt4q,false
0.45805021008948654,3,NpFwyALl,false
0.13548510753610832,7,3xhJVdmS,true
0.980623636264639,5,YMfS4aNZ,false
0.4972689826769501,10,JuBeZGtK,true
0.5252964743608612,5,Ni6DEJyj,false
0.9142931800807155,8,kYAH14fN,true
0.5188924699883357,3,w5KFlZ4w,false
0.10565453218762877,3,XIIGmcPI,true
0.32218392743779867,5,B5ACrg6U,true
0.41624807249438156,5,NKN4SyKw,false
0.2024681195317246,1,JyIlliiA,false
0.2948164360338763,4,Yadmi7sa,false
0.04086455527316413,5,vc4NNAfU,true
0.14959444676895428,5,j713anYJ,true
0.35500643091243145,5,g9BdmeTk,false
0.20930382357663335,5,LBHLnB3z,false
0.3026494241088018,5,oJaY0QjZ,false
0.13986405159736814,4,845zf6Wo,true
0.9654468363572688,4,VT6wKDsz,true
0.06637287662178082,10,2Atk5dcX,false
0.1839592522220943,5,8rXYW5lu,false
0.8824979483849305,2,VYpn1MJf,false
0.9839084301807532,4,gplgOvmj,true
0.23671419951874162,2,6XJ4jbFv,false
0.4168387329533907,1,b7gFSFpu,false
0.6321605137979094,1,xR5niYiv,true
0.548667480241035,7,v0I4yb6O,true
0.1521471923389326,1,1cEvjVmL,true
0.8779721779253558,1,WhuGseCY,false
0.01456135370960654,8,RQEtfcRe,true
0.8777775249574662,2,6YUEMEBO,true
0.5573371943717413,8,yq62SaF0,true
0.8463571025088485,3,GMw01kUm,true
0.04773783965707645,3,wrgXsSpc,true
0.06321734386672495,3,FHBsacEx,false
0.6458375002715384,8,h4ZPuyPL,false
0.0039248368163185,1,py5359ur,false
0.17810757961750667,9,8xxl9JFu,true
0.052920002686590584,3,cCtdktvw,true
0.9084621488625233,6,33JeOe4N,true
0.7866596206125127,9,P0hFIs7D,true
0.5966576797341943,9,0pm2yvy9,false
0.8784324946306372,9,77oZhOI6,false
0.8417056146890398,5,KW3XIaHs,true
0.856116010375519,5,NfQX6mRE,true
0.5295842450876302,4,OYYgoeWw,false
0.5237300423593088,2,x6LS2pdF,true
0.12531746683747147,9,OfGNMJBm,false
0.02592214974799134,1,VHeSRp9w,true
0.28036556244346844,10,M9iF0nQC,false
0.2079698457707002,1,Aehg1msO,true
0.18277425067687658,8,osKIP2gf,false
0.3599180470638703,10,p9jhyCWm,true
0.9183415503114083,10,YImsrdBU,false
0.28166702553913203,3,sRLLLprG,true
0.7882861433846664,7,7z1xIWOS,false
0.26138309667184,4,OfRpvF65,false
0.08914533310957196,6,6eN7rVjo,true
0.15702974619304721,6,CpOuD1En,false
0.8390013572944357,6,E1MaXOYY,true
0.0783185010415055,3,LGEcHRVe,false
0.41932310495351954,7,UiPUxqSK,true
0.0184342151398309,10,NvFNclA6,true
0.447866135699017,10,rLaf320F,true
0.96017165257599,3,kqouZjjR,true
0.44088544100874616,1,LD04EO0Y,false
0.13827883978846778,7,PSXttT3N,true
0.9393752205670749,3,y4AIG5AD,true
0.38566024070540883,1,2W9vWCk8,true
0.806973258395931,3,HoUdtte3,true
0.5654781610101818,3,YKv3bO8y,false
0.20235974058088524,10,Hxay3m1P,true
0.1314032368143223,3,3rNZNLBc,false
0.7951556795358297,6,9e1AjVsd,false
0.6653983587281087,3,nFAmwMmB,true
0.8230915370257874,5,KsNiUjJG,true
0.054317628313528044,5,50uYgK24,false
0.51761251884535,5,2F7N83tZ,true
0.25801015993905785,9,Wg5FNVPl,true
0.8844493479045192,9,zf2SDIHS,true
0.5628364272575304,4,65a4t7Eo,false
0.29296856866509624,6,OoiOfboF,false
0.5358566934448985,8,lNsmzVvX,true
0.19695480564008627,8,7HTt3C5G,true
0.6343665770348765,5,0U0ZhD75,false
0.4159975103577318,6,iJAchbxi,true
0.5899324124328873,9,T2Q9O207,true
0.24318080769336614,8,ipf9H0WA,true
0.4389849299796349,2,2eUYw31E,false
0.7795092184022572,10,ySfmdaA8,false
0.6777947162798048,4,jcnspShV,true
0.8866630738950256,1,89Xb9tm1,false
0.5587453480791524,1,IJufilZc,true
0.07975122547186708,8,0SwwkDeC,true
0.5292827386237533,1,pcvUNPAk,false
0.7809676196066804,6,w3tsEAYQ,false
0.47129287174716894,9,VRRTewv5,true
0.7003725549489324,4,vU0XeF7W,true
0.9347204883548861,6,eHwWeZDy,true
0.9351598439596234,6,SDtE1hJE,true
0.7576753561744771,3,9xP8j58X,false
0.12695834768924819,6,nlNlKMY1,false
0.7804503328089141,9,II8HOEzy,true
0.7873939583814278,3,6sPoLAgD,true
0.6425422394379994,4,C1c3BE2u,false
0.5569651254959895,2,CubXdCnX,false
0.7179764008576812,6,t3ZonpPs,false
0.8363335308801629,7,6RPBGwS5,true
0.16407114823104618,5,7bnbt6WM,false
0.7166714629213902,7,7PlYMyKx,true
0.02543732057472914,5,9qXasL9b,false
0.17016619667946586,8,bdenHJvk,false
0.506641019294594,4,SAHgACPX,false
0.29337810201093206,7,wwG5rgOT,false
0.38399103461245154,5,65O3g3Kr,false
0.11587488870385143,5,WSIh4agn,true
0.27084115695608135,4,OIqJSGoB,false
0.5306093347696321,9,a77aBBBY,false
0.643318031835302,2,yV8Qz9sZ,true
0.19533497700151492,8,RHEWJspy,true
0.45172115853935857,3,rNFJCi0u,false
0.9899018768721326,3,qBIzVvSx,false
0.367106159823245,7,fySRmBsV,false
0.46128492966405266,5,MSF5VLjv,true
0.5863544596131469,3,YCJ5ePTm,false
0.013129222070078939,1,uLCvJGaC,true
0.8954258480401436,1,HgRchZVa,true
0.04164856323637456,8,mUb5XtOb,true
0.5530171331701927,8,qBaxCtkZ,true
0.9681261653242441,10,HGbO9zkJ,false
0.7526016408201321,1,lcxdvnUd,true
0.2669041895205242,3,B8unj2lU,true
0.055090953870218895,10,fRqjaWLp,true
0.17686850691779643,2,LpbLU7Tp,true
0.19738536388969652,8,T4BpMNj2,false
0.4658271467771151,5,XpvCeE10,false
0.4926417646160466,3,114i6OXG,true
0.6599877465428581,3,lQJIQ3P4,true
0.4480950809489628,6,DbMUG12S,false
0.0020907255611402054,4,vbR9sWuc,true
0.6890932957270086,5,4vKvXELO,true
0.3549789854034717,3,dlWM6GKP,false
0.3814429819378171,9,LuUbh3N5,true
0.2004783246760533,5,jtr5rPZe,true
0.26518511012352586,6,FoQNb9wC,false
0.449294915196361,2,pijDDkmM,true
0.0744896610216379,9,1WiwFuH0,false
0.8453004920121925,7,QbFg2qfZ,false
0.7081978763378403,7,ZYOh6xqy,true
0.7675335322056633,4,JuJwt4bA,true
0.424426563164195,9,6mLOqG3I,true
0.989108359091964,6,CiJ056Yv,false
0.3128456269298583,5,HJEYKzIO,false
0.4865318452699434,6,a90haySS,false
0.9282668025472052,7,c1BkPt5u,true
0.6942015639578865,9,IC4cwxHS,false
0.1104289583780611,9,qVYl3f43,false
0.6922670373562545,8,CY0YwrbW,true
0.31391056343903934,5,uaZDSQ4r,true
0.5364851172627194,7,bOSYP52D,true
0.265718683792846,6,aq89scs1,false
0.3398943480924279,9,Za1bf5l5,true
0.7769337137855419,5,CRNofxvU,false
0.13621674067557432,9,QaHIGV37,true
0.2970171771068244,6,mTAr5eG5,true
0.0010991531527104748,1,1W8szHHu,true
0.7608573468612629,5,p8KIJPla,false
0.671746713049826,5,CkQeGMZq,false
0.6518409772726854,7,F8nmNMY8,false
0.5041730412937961,6,VJD4Vt5A,false
0.10214685992736805,6,YcOBT5rp,true
0.9969943991281052,3,1DTeOVcU,false
0.7148254393981874,2,09xVByNe,true
0.46660013288730795,9,0Ps0G9IU,true
0.26596331968728104,1,Ei4DHnpX,true
0.44003653849380964,6,lEWvJ7QL,false
0.08818261436467334,10,ykRaoHEK,false
0.8915636875970168,3,Zz8uahsT,true
0.18288466816284865,3,NSeBTEFA,false
0.3608375859788635,9,oXyOgMFH,true
0.4655645129556354,4,VThyAGxI,true
0.4168048872047392,6,Ey8BTEMd,false
0.5437154666250081,10,IttCdgxf,false
0.02682151469755656,10,pfOtHTNR,false
0.24576765568242798,1,urBzFJsp,false
0.9314076266504263,1,t0YPGeve,true
0.5748392986202153,8,RRZskV4n,false
0.37766696522465715,9,chK8F2SV,true
0.40926860748082317,9,ciAEXqDy,false
0.6450241119501825,3,rmdYz4nx,false
0.8494218954632793,5,RhXWO9mX,false
0.9806493821024977,2,L5KCgYVX,true
0.28824784648427704,8,RVtPrneI,true
0.0765634564459623,7,nvfIqyhh,true
0.0030894238394998386,7,iy67CCXN,true
0.5917286938557236,10,U1LmDVL5,true
0.20049096301034997,4,A1Rt6C7N,false
0.8002781673235813,6,9oWKZuEi,false
0.5176120806764708,7,g0MCJ9rn,true
0.8180008699249606,7,WPj9TZPo,true
0.37615716376732755,10,TEGCBiEx,true
0.05428712941828584,10,d601RdiC,true
0.5322129117105814,9,aJbuM3TJ,false
0.025002104522451774,9,GESznUSx,false
0.34160082311493567,3,laWknW3X,false
0.3025033354561302,3,uKR8MxEH,false
0.8489437563666429,7,GMnaGS1R,true
0.08163985277877206,1,eBNMIiBs,false
0.47566462816625177,7,D8a18pcY,false
0.6058669521681965,2,PQ9xayCz,false
0.6955957489004638,6,5LF9dP2W,false
0.5868368443056979,6,UXnzMvEQ,true
0.7686646715729026,6,420Y6lCs,true
0.497675334797691,3,tcTS8s9f,false
0.24377745363738845,7,VeDl1lM1,true
0.26330372744497876,4,MIKH8Qo2,false
0.31683667000234284,10,pQhFNb0E,false
0.25517418789872104,1,rwa0PEZR,true
0.7288166671626708,7,Y3Cknz33,true
0.4189037094853465,9,peMheZWo,false
0.5843413159491944,3,cY6OCi2f,false
0.5192067431640424,7,i8suOeCw,true
0.46231491183783247,8,xb3MqQrY,false
0.9464957760293093,2,4WzkdsG4,false
0.31066091711551325,5,qkRmFm2e,true
0.645478626675172,3,RlnE4uvL,false
0.10393066566414699,8,n2bslmyN,true
0.04891791857641459,4,icpsdIw5,true
0.31761322610111264,8,oXMGZwQa,true
0.18214673260139036,3,GAPDdbxP,false
0.9341406640055452,8,97m3kSOf,false
0.2786048146715032,10,Sb0Ht8lq,true
0.30554441166945456,8,F4ffrmqI,false
0.8826056272751297,2,Cbi1l09F,false
0.6323656588309698,3,4Eluean3,false
0.7438062408143482,4,hWnf2aLc,true
0.010482148965184068,9,nLwbmg7Y,false
0.8809242356638536,4,08yb7wB1,true
0.08803971914428055,10,qzZsBtFd,false
0.427552387706734,4,ijjnZyYA,false
0.7137360925655001,9,YH2Ft2K3,true
0.45241853777194607,3,aCQt4mKA,false
0.176667733227164,4,LTNvfMOk,false
0.8609694980466913,6,K2qJbnwv,false
0.556237302658465,7,n3UE5ork,true
0.8955004991658213,10,sAwwfuMA,false
0.8333924350639217,5,NAeaBsb2,true
0.8886043123782785,10,YJADwAyo,false
0.8960549965679843,7,CgkNQcrM,false
0.7554245851305408,4,lpQa5T69,false
0.6116018497158247,1,HRVNqOhU,false
0.44230887207466485,5,jPKRtu28,false
0.9291522921146766,6,koLhjEDW,false
0.13292968312450504,7,Iys8WEjj,true
0.15292087904780938,5,FZpUEkRz,true
0.5660226975088491,5,hEeJGXrv,true
0.3815744413538531,10,PzHd8Rnx,true
0.97510586099599,5,KCHRYnMZ,false
0.46568252240127017,10,MyeGWHzT,true
0.6104356977575476,9,1a2rdflc,false
0.7547601700704443,4,ApIbIc1h,false
0.49304779898014917,4,Gcyv4giQ,false
0.26073860945704386,9,gGDWCE4Q,false
0.42983475071042454,6,Ob51CKiI,false
0.8147712611082585,10,1z6S4K1k,true
0.5853403195523155,9,mVj19CxN,false
0.07642254468778775,10,TWkEyZpY,true
0.8735562743591028,10,joxI2PvJ,true
0.8721609010309543,9,8wkq55FY,false
0.09478796727830252,5,i3Om4DRn,true
0.46445158339602655,3,hc75tywL,false
0.20737661648706784,8,Ycq3FBhV,false
0.7356996454372557,8,ZK02gLk4,false
0.5796757542075599,2,HRA4uIP0,false
0.9525765648715141,7,PKgbsYua,true
0.08052115053327746,9,TGes9zyh,false
0.7521619549913545,8,bVatiQ1g,true
0.12537831778771924,4,oi35BNN3,true
0.09949119350384428,4,n9edZLuf,true
0.4381097114824011,6,s48LVDKY,true
0.6787555447270508,8,p9gTv0k3,false
0.33678297378949296,9,3TyDxVgp,false
0.05465106329181668,6,9Q7SYABb,false
0.9317545587012819,3,ZaxNqFZW,false
0.010769227375006185,10,eVVBrxNT,false
0.3770232756761853,8,4Gop4fJE,false
0.356685887320932,7,36pOAAxX,true
0.4778016600567092,1,AhcbxmKn,true
0.45692284069608746,6,EDDJJgwi,false
0.16784968422424607,1,rMVZJ3nY,true
0.3844734698514123,2,dlSKeLdK,false
0.4603342871263414,7,ZhOfjUv7,false
0.4299333339366558,9,meaowJAo,true
0.6954958323401264,2,3Nt63kyh,true
0.699560774981473,7,p9tV26H6,true
0.3630690737756621,5,1FDUqFQD,true
0.6971642474468711,10,woVi2tiJ,false
0.5499488024481223,5,3aTMbMDf,false
0.974204956121205,8,KX4uBLTh,false
0.19531969753330825,6,FkmgVsxi,false
0.7293349608116828,9,v9VZTEr5,true
0.2881885556297914,7,m7d4JtRm,false
0.40931340834770946,1,hBdiAOHX,false
0.774182737576369,9,5R5lsFMi,false
0.01294339674451117,5,24L6ae41,true
0.5795319186616417,1,n3VNjjNf,true
0.5930734158401307,9,THvKMdfk,false
0.2165176452428268,10,KOvVi5Lt,true
0.8889578820284902,7,dfmnqFVh,true
0.17825690592831278,9,GMUIl6Sj,true
0.15853641572363086,8,ZN3UQ8sK,true
0.5598517551758191,2,DMnZdTwv,false
0.8382857161409167,5,Kt5QSNch,true
0.3005744112007216,10,MaABFfYx,true
0.37100465593695686,10,P08Gq0bD,true
0.9834098021369968,4,YtHPoxXq,false
0.3768525408496495,2,d4aLRpbp,true
0.7448946723096663,3,Jc90L3oT,true
0.35364461287310833,10,sU7e0oRQ,true
0.4715302835470978,7,9QNooHb9,false
0.766176057131374,5,zqojfIM9,false
0.8998722666061534,8,MtN71Enk,false
0.49434857871266,9,IO12knFX,true
0.35805316798645337,9,LzdBdjYa,true
0.6509267414468609,8,uByRjt3j,true
0.518194099606895,8,pEs7qfS2,true
0.1385278421468632,7,M6pgUUZN,false
0.6758910800073938,4,OzIcRP0l,false
0.24146918339400858,5,AQBwojl6,false
0.3591813980386618,9,hzK7g23i,true
0.6736460813878253,3,CnjsHzP5,false
0.4745688196220479,7,ej88r0bJ,true
0.7920720122453493,1,K8KUkNOI,false
0.9070613730627899,5,TJQaxGHT,true
0.9038875840576106,4,3pJgH8gR,true
0.8522777749400234,8,FqtAKDhp,false
0.41219457565858186,9,Z6wiX7ot,true
0.1921089512920029,7,cx7jbz82,true
0.9720142987239122,5,ETDZh3vO,true
0.4599924614650701,10,ySR7LSUB,true
0.9690721324658134,2,28tFYKkb,true
0.31930595465962663,3,Yiwv5e2V,false
0.3496929146034886,10,XWc3X069,true
0.9609398589070619,8,4qrHjCi4,false
0.27961026485674645,3,lRrAzrys,true
0.806555473216187,10,EITqwLQ1,true
0.4786742622234508,2,7Ymg0l4U,false
0.4928138733547993,5,HEtpItZx,false
0.8270007169123907,4,SqwRguMI,true
0.38230023035186234,10,tAawzCLs,false
0.3544677139338923,8,hCFB9VQp,false
0.7918576280552942,3,EXf0nLtq,true
0.5025370762028871,6,fobW1pI7,false
0.5071961401669438,1,K1NPVNZG,false
0.7735537839766367,8,yDB0whYM,true
0.24685026363055718,3,SZEyN7oJ,false
0.6497136849616894,2,IbZP3BvB,false
0.19165221570107005,6,Xlmu2hjI,true
0.607418608606322,10,TGlZpqOy,false
0.5790614020635916,10,o58ueeTA,true
0.2842956751730594,9,mdbxDqcx,true
0.16249192898021558,10,DGgGljRs,false
0.31925717125138675,6,qnex7S8N,true
0.8462651404656978,10,eULzoKPi,true
0.4044417307555652,1,b8iMMmXU,true
0.16138563600596822,1,Xfgaa2ux,true
0.9126897026063445,2,73yyisLv,true
0.2577568735108622,7,rUUkZWhF,true
0.5520421876469515,1,vHn8pjuP,true
0.5121889550461292,8,hrkBGjUA,false
0.40484890430926335,10,VYrhpN11,false
0.15029813371549805,8,jOkuFiMo,false
0.4395628190661651,10,5PjLMRAb,true
0.6925887862235844,7,cVOA3Co4,false
0.9379415753580203,4,db52kv5c,true
0.6764772887004484,9,DgONJGCW,true
0.3846203094371772,8,8lhe9xn8,false
0.7090665673915457,6,KPQHOwd3,true
0.023507971552901852,5,cRoFFgAZ,false
0.557937700510609,1,4ILTYH2P,false
0.3140667108193107,3,YPMZKu3y,false
0.8566481004619773,10,Swk7m6pq,true
0.2511048064236099,5,m1UVNBfX,true
0.4935519985262604,6,fJsIeQMY,false
0.5415960719084489,6,zM8KmAvs,false
0.09827773704034026,3,rfkrJf9f,false
0.7268071606780284,2,DJ9dUkRD,false
0.2642299833330426,6,RhlzJQEb,false
0.12537160384504764,8,WTuI1IMC,false
